datetime,air_risk_score,risk_CO,risk_NO2,risk_NOx,risk_weather
2004-03-10 18:00:00,0.4993333333333333,0.26,0.565,0.5533333333333333,0.0
2004-03-10 19:00:00,0.3613333333333334,0.2,0.46,0.3433333333333333,0.0
2004-03-10 20:00:00,0.44666666666666666,0.22000000000000003,0.57,0.43666666666666665,0.0
2004-03-10 21:00:00,0.5173333333333334,0.22000000000000003,0.61,0.5733333333333334,0.0
2004-03-10 22:00:00,0.43866666666666665,0.16,0.58,0.43666666666666665,0.0
2004-03-10 23:00:00,0.33466666666666667,0.12,0.48,0.2966666666666667,0.0
2004-03-11 00:00:00,0.2606666666666667,0.12,0.385,0.20666666666666667,0.0
2004-03-11 01:00:00,0.2546666666666667,0.1,0.38,0.20666666666666667,0.0
2004-03-11 02:00:00,0.19799999999999998,0.09,0.3,0.15,0.0
2004-03-11 03:00:00,0.15,0.06,0.235,0.11,0.0
2004-03-11 04:00:00,0.10900000000000001,0.06499999999999999,0.17,0.07,0.0
2004-03-11 05:00:00,0.09133333333333335,0.06999999999999999,0.14,0.05333333333333334,0.0
2004-03-11 06:00:00,0.15533333333333332,0.06999999999999999,0.24,0.11333333333333333,0.0
2004-03-11 07:00:00,0.31666666666666665,0.11000000000000001,0.41,0.32666666666666666,0.0
2004-03-11 08:00:00,0.496,0.2,0.56,0.58,0.0
2004-03-11 09:00:00,0.41800000000000004,0.22000000000000003,0.505,0.43,0.0
2004-03-11 10:00:00,0.37933333333333336,0.16999999999999998,0.49,0.37333333333333335,0.0
2004-03-11 11:00:00,0.3406666666666667,0.15,0.46,0.31666666666666665,0.0
2004-03-11 12:00:00,0.3606666666666667,0.16,0.475,0.3466666666666667,0.0
2004-03-11 13:00:00,0.45666666666666667,0.19,0.56,0.4866666666666667,0.0
2004-03-11 14:00:00,0.59,0.29,0.64,0.69,0.0
2004-03-11 15:00:00,0.5413333333333333,0.22000000000000003,0.63,0.6133333333333333,0.0
2004-03-11 16:00:00,0.5633333333333335,0.22000000000000003,0.655,0.6433333333333333,0.0
2004-03-11 17:00:00,0.6520000000000001,0.29,0.675,0.81,0.0
2004-03-11 18:00:00,0.7726666666666667,0.48,0.755,0.9366666666666666,0.0
2004-03-11 19:00:00,0.8820000000000001,0.6900000000000001,0.86,1.0,0.0
2004-03-11 20:00:00,0.8520000000000001,0.61,0.825,1.0,0.0
2004-03-11 21:00:00,0.6700000000000002,0.39,0.68,0.8,0.0
2004-03-11 22:00:00,0.32533333333333336,0.15,0.425,0.31333333333333335,0.0
2004-03-11 23:00:00,0.18866666666666668,0.1,0.265,0.15666666666666668,0.0
2004-03-12 00:00:00,0.3906666666666667,0.16999999999999998,0.485,0.4066666666666667,0.0
2004-03-12 01:00:00,0.43533333333333335,0.19,0.55,0.44333333333333336,0.0
2004-03-12 02:00:00,0.31933333333333336,0.13999999999999999,0.455,0.2733333333333333,0.0
2004-03-12 03:00:00,0.20766666666666667,0.08,0.3075,0.17166666666666666,0.0
2004-03-12 04:00:00,0.10600000000000001,0.06999999999999999,0.16,0.07,0.0
2004-03-12 05:00:00,0.14,0.06,0.22,0.1,0.0
2004-03-12 06:00:00,0.23266666666666663,0.08,0.355,0.18666666666666668,0.0
2004-03-12 07:00:00,0.38133333333333336,0.13999999999999999,0.52,0.36333333333333334,0.0
2004-03-12 08:00:00,0.77,0.44000000000000006,0.705,1.0,0.0
2004-03-12 09:00:00,0.6673333333333333,0.375,0.6575,0.8233333333333334,0.0
2004-03-12 10:00:00,0.5553333333333333,0.31,0.61,0.6233333333333333,0.0
2004-03-12 11:00:00,0.6279999999999999,0.27,0.715,0.72,0.0
2004-03-12 12:00:00,0.45866666666666667,0.21000000000000002,0.565,0.4766666666666667,0.0
2004-03-12 13:00:00,0.4953333333333333,0.25,0.58,0.5333333333333333,0.0
2004-03-12 14:00:00,0.5173333333333333,0.27,0.615,0.5433333333333333,0.0
2004-03-12 15:00:00,0.5633333333333334,0.29,0.63,0.6333333333333333,0.0
2004-03-12 16:00:00,0.5333333333333333,0.27999999999999997,0.6,0.5933333333333334,0.0
2004-03-12 17:00:00,0.486,0.24,0.595,0.5,0.0
2004-03-12 18:00:00,0.6506666666666667,0.39,0.745,0.6866666666666666,0.0
2004-03-12 19:00:00,0.6333333333333333,0.37,0.725,0.6733333333333333,0.0
2004-03-12 20:00:00,0.872,0.6599999999999999,0.85,1.0,0.0
2004-03-12 21:00:00,0.7513333333333334,0.44000000000000006,0.745,0.9133333333333333,0.0
2004-03-12 22:00:00,0.6853333333333333,0.35,0.695,0.8433333333333334,0.0
2004-03-12 23:00:00,0.776,0.54,0.67,1.0,0.0
2004-03-13 00:00:00,0.5373333333333333,0.27,0.565,0.6433333333333333,0.0
2004-03-13 01:00:00,0.41733333333333333,0.19,0.485,0.4633333333333333,0.0
2004-03-13 02:00:00,0.3066666666666667,0.16,0.41,0.27666666666666667,0.0
2004-03-13 03:00:00,0.327,0.16999999999999998,0.4125,0.32,0.0
2004-03-13 04:00:00,0.3383333333333334,0.135,0.415,0.36333333333333334,0.0
2004-03-13 05:00:00,0.2326666666666667,0.1,0.325,0.20666666666666667,0.0
2004-03-13 06:00:00,0.21466666666666667,0.12,0.3,0.17666666666666667,0.0
2004-03-13 07:00:00,0.3693333333333334,0.15,0.385,0.4633333333333333,0.0
2004-03-13 08:00:00,0.5873333333333334,0.27,0.48,0.8533333333333334,0.0
2004-03-13 09:00:00,0.7053333333333334,0.37,0.595,0.9833333333333333,0.0
2004-03-13 10:00:00,0.6493333333333333,0.32,0.63,0.8333333333333334,0.0
2004-03-13 11:00:00,0.7926666666666669,0.41,0.79,0.9866666666666667,0.0
2004-03-13 12:00:00,0.7126666666666668,0.36,0.805,0.7966666666666666,0.0
2004-03-13 13:00:00,0.508,0.27999999999999997,0.62,0.51,0.0
2004-03-13 14:00:00,0.4013333333333333,0.2,0.51,0.3933333333333333,0.0
2004-03-13 15:00:00,0.4306666666666667,0.2,0.58,0.39666666666666667,0.0
2004-03-13 16:00:00,0.482,0.25,0.62,0.46,0.0
2004-03-13 17:00:00,0.49333333333333335,0.22999999999999998,0.625,0.49333333333333335,0.0
2004-03-13 18:00:00,0.6626666666666667,0.32,0.74,0.7566666666666667,0.0
2004-03-13 19:00:00,0.7833333333333334,0.42000000000000004,0.825,0.9233333333333333,0.0
2004-03-13 20:00:00,0.7780000000000001,0.42000000000000004,0.805,0.93,0.0
2004-03-13 21:00:00,0.7793333333333334,0.42000000000000004,0.795,0.9433333333333334,0.0
2004-03-13 22:00:00,0.6333333333333333,0.31,0.715,0.7133333333333334,0.0
2004-03-13 23:00:00,0.5413333333333333,0.26,0.65,0.5733333333333334,0.0
2004-03-14 00:00:00,0.5693333333333334,0.29,0.645,0.6333333333333333,0.0
2004-03-14 01:00:00,0.526,0.27999999999999997,0.595,0.58,0.0
2004-03-14 02:00:00,0.4286666666666667,0.25,0.52,0.4266666666666667,0.0
2004-03-14 03:00:00,0.36600000000000005,0.24,0.465,0.33,0.0
2004-03-14 04:00:00,0.29333333333333333,0.18,0.41,0.23333333333333334,0.0
2004-03-14 05:00:00,0.23466666666666663,0.12,0.35,0.17666666666666667,0.0
2004-03-14 06:00:00,0.2046666666666667,0.1,0.315,0.14666666666666667,0.0
2004-03-14 07:00:00,0.2506666666666667,0.09,0.335,0.24666666666666667,0.0
2004-03-14 08:00:00,0.33066666666666666,0.13999999999999999,0.42,0.33666666666666667,0.0
2004-03-14 09:00:00,0.35533333333333333,0.16,0.415,0.3933333333333333,0.0
2004-03-14 10:00:00,0.43200000000000005,0.22000000000000003,0.49,0.48,0.0
2004-03-14 11:00:00,0.5186666666666666,0.27999999999999997,0.57,0.5866666666666667,0.0
2004-03-14 12:00:00,0.5086666666666666,0.27999999999999997,0.595,0.5366666666666666,0.0
2004-03-14 13:00:00,0.3986666666666667,0.2,0.52,0.37666666666666665,0.0
2004-03-14 14:00:00,0.37733333333333335,0.18,0.51,0.3433333333333333,0.0
2004-03-14 15:00:00,0.4013333333333333,0.19,0.535,0.37333333333333335,0.0
2004-03-14 16:00:00,0.5446666666666666,0.3,0.645,0.5666666666666667,0.0
2004-03-14 17:00:00,0.554,0.29,0.64,0.6,0.0
2004-03-14 18:00:00,0.5053333333333333,0.25,0.605,0.5333333333333333,0.0
2004-03-14 19:00:00,0.754,0.45999999999999996,0.785,0.87,0.0
2004-03-14 20:00:00,0.8640000000000001,0.5900000000000001,0.865,1.0,0.0
2004-03-14 21:00:00,0.6493333333333333,0.33999999999999997,0.73,0.7233333333333334,0.0
2004-03-14 22:00:00,0.4786666666666667,0.21000000000000002,0.605,0.4866666666666667,0.0
2004-03-14 23:00:00,0.4846666666666667,0.22000000000000003,0.595,0.5066666666666667,0.0
2004-03-15 00:00:00,0.3726666666666667,0.18,0.495,0.3466666666666667,0.0
2004-03-15 01:00:00,0.3633333333333334,0.18,0.465,0.35333333333333333,0.0
2004-03-15 02:00:00,0.356,0.18,0.44,0.36,0.0
2004-03-15 03:00:00,0.29700000000000004,0.11000000000000001,0.3975,0.29,0.0
2004-03-15 04:00:00,0.251,0.10500000000000001,0.355,0.22,0.0
2004-03-15 05:00:00,0.2853333333333333,0.1,0.37,0.29333333333333333,0.0
2004-03-15 06:00:00,0.37200000000000005,0.13999999999999999,0.4,0.46,0.0
2004-03-15 07:00:00,0.526,0.22000000000000003,0.445,0.76,0.0
2004-03-15 08:00:00,0.738,0.55,0.57,1.0,0.0
2004-03-15 09:00:00,0.86,0.8099999999999999,0.745,1.0,0.0
2004-03-15 10:00:00,0.8300000000000001,0.58,0.785,1.0,0.0
2004-03-15 11:00:00,0.794,0.42000000000000004,0.775,1.0,0.0
2004-03-15 12:00:00,0.5980000000000001,0.31,0.67,0.67,0.0
2004-03-15 13:00:00,0.524,0.29,0.595,0.57,0.0
2004-03-15 14:00:00,0.49200000000000005,0.29,0.555,0.53,0.0
2004-03-15 15:00:00,0.462,0.25,0.52,0.51,0.0
2004-03-15 16:00:00,0.43466666666666665,0.22999999999999998,0.495,0.4766666666666667,0.0
2004-03-15 17:00:00,0.48400000000000004,0.27999999999999997,0.55,0.52,0.0
2004-03-15 18:00:00,0.8460000000000001,0.61,0.81,1.0,0.0
2004-03-15 19:00:00,0.934,0.8,0.935,1.0,0.0
2004-03-15 20:00:00,0.8600000000000001,0.65,0.825,1.0,0.0
2004-03-15 21:00:00,0.7153333333333334,0.42000000000000004,0.725,0.8533333333333334,0.0
2004-03-15 22:00:00,0.5713333333333334,0.32,0.625,0.6433333333333333,0.0
2004-03-15 23:00:00,0.3486666666666667,0.13999999999999999,0.505,0.2966666666666667,0.0
2004-03-16 00:00:00,0.41733333333333333,0.21000000000000002,0.515,0.42333333333333334,0.0
2004-03-16 01:00:00,0.30533333333333335,0.12,0.44,0.2633333333333333,0.0
2004-03-16 02:00:00,0.19533333333333336,0.08,0.305,0.14333333333333334,0.0
2004-03-16 03:00:00,0.202,0.06999999999999999,0.3,0.17,0.0
2004-03-16 04:00:00,0.20966666666666667,0.06499999999999999,0.295,0.19666666666666666,0.0
2004-03-16 05:00:00,0.16666666666666669,0.06,0.26,0.12666666666666668,0.0
2004-03-16 06:00:00,0.2553333333333333,0.09,0.32,0.2733333333333333,0.0
2004-03-16 07:00:00,0.298,0.13,0.35,0.33,0.0
2004-03-16 08:00:00,0.6126666666666667,0.33999999999999997,0.485,0.8766666666666667,0.0
2004-03-16 09:00:00,0.5693333333333334,0.37,0.475,0.7633333333333333,0.0
2004-03-16 10:00:00,0.806,0.53,0.75,1.0,0.0
2004-03-16 11:00:00,0.806,0.41,0.81,1.0,0.0
2004-03-16 12:00:00,0.6633333333333334,0.32999999999999996,0.77,0.7233333333333334,0.0
2004-03-16 13:00:00,0.7380000000000001,0.4,0.805,0.84,0.0
2004-03-16 14:00:00,0.7486666666666668,0.38,0.805,0.8766666666666667,0.0
2004-03-16 15:00:00,0.552,0.27999999999999997,0.64,0.6,0.0
2004-03-16 16:00:00,0.5613333333333334,0.29,0.645,0.6133333333333333,0.0
2004-03-16 17:00:00,0.5773333333333334,0.29,0.665,0.6333333333333333,0.0
2004-03-16 18:00:00,0.5913333333333333,0.33999999999999997,0.695,0.6133333333333333,0.0
2004-03-16 19:00:00,0.5933333333333334,0.39,0.685,0.6033333333333334,0.0
2004-03-16 20:00:00,0.5713333333333334,0.32,0.715,0.5533333333333333,0.0
2004-03-16 21:00:00,0.8560000000000001,0.51,0.885,1.0,0.0
2004-03-16 22:00:00,0.5733333333333333,0.26,0.69,0.6133333333333333,0.0
2004-03-16 23:00:00,0.4413333333333333,0.16999999999999998,0.585,0.43333333333333335,0.0
2004-03-17 00:00:00,0.42400000000000004,0.16999999999999998,0.535,0.44,0.0
2004-03-17 01:00:00,0.33066666666666666,0.12,0.45,0.31666666666666665,0.0
2004-03-17 02:00:00,0.26933333333333337,0.09,0.395,0.23333333333333334,0.0
2004-03-17 03:00:00,0.23566666666666664,0.06999999999999999,0.3475,0.20666666666666667,0.0
2004-03-17 04:00:00,0.20400000000000001,0.06,0.3,0.18,0.0
2004-03-17 05:00:00,0.12733333333333335,0.05,0.2,0.09333333333333334,0.0
2004-03-17 06:00:00,0.17733333333333334,0.05,0.265,0.15333333333333332,0.0
